date,revenue,type,subtype
2016-08-01,-207849.76,Volume Discount,Business
2016-08-01,-790426.02,Volume Discount,Personal
2016-09-01,13245888.06,Net Toll Revenue,NA
2016-09-01,-182871.96,Volume Discount,Business
2016-09-01,-741348.1799999999,Volume Discount,Personal
2016-10-01,12553068.870000001,Net Toll Revenue,NA
2016-10-01,-199794.77000000002,Volume Discount,Business
2016-10-01,-755799.3300000001,Volume Discount,Personal
2016-11-01,11092003.739999998,Net Toll Revenue,NA
2016-11-01,-178276.9,Volume Discount,Business
2016-11-01,-693248.04,Volume Discount,Personal
2016-12-01,10591059.69,Net Toll Revenue,NA
2016-12-01,-178605.93,Volume Discount,Business
2016-12-01,-681795.4500000001,Volume Discount,Personal
2017-01-01,10164305.84,Net Toll Revenue,NA
2017-01-01,-179258.04,Volume Discount,Business
2017-01-01,-698415.74,Volume Discount,Personal
2017-02-01,8992910.92,Net Toll Revenue,NA
2017-02-01,-151013.59,Volume Discount,Business
2017-02-01,-520591.35,Volume Discount,Personal
2017-03-01,10704179.97,Net Toll Revenue,NA
2017-03-01,-192992.93,Volume Discount,Business
2017-03-01,-795768.26,Volume Discount,Personal
2017-04-01,11021129,Net Toll Revenue,NA
2017-04-01,-177988,Volume Discount,Business
2017-04-01,-713567.6799999999,Volume Discount,Personal
2017-05-01,12830345.57,Net Toll Revenue,NA
2017-05-01,-210953.37999999998,Volume Discount,Business
2017-05-01,-836259.13,Volume Discount,Personal
2017-06-01,13696909.25,Net Toll Revenue,NA
2017-06-01,-204517.91,Volume Discount,Business
2017-06-01,-828545.37,Volume Discount,Personal
2017-07-01,15404673.17,Net Toll Revenue,NA
2017-07-01,-187205.09,Volume Discount,Business
2017-07-01,-721364.6799999999,Volume Discount,Personal
2017-08-01,15979160.88,Net Toll Revenue,NA
2017-08-01,-212644.81,Volume Discount,Business
2017-08-01,-838152.06,Volume Discount,Personal
2017-09-01,13352695.629999999,Net Toll Revenue,NA
2017-09-01,-188866.83,Volume Discount,Business
2017-09-01,-777186.24,Volume Discount,Personal
2017-10-01,12912228.739999998,Net Toll Revenue,NA
2017-10-01,-194906.37999999998,Volume Discount,Business
2017-10-01,-822971.14,Volume Discount,Personal
2017-11-01,11564680.91,Net Toll Revenue,NA
2017-11-01,-179312.38999999998,Volume Discount,Business
2017-11-01,-766980.2899999999,Volume Discount,Personal
2017-12-01,10721805.5,Net Toll Revenue,NA
2017-12-01,-178122.7,Volume Discount,Business
2017-12-01,-701721.61,Volume Discount,Personal
2018-01-01,10021019.89,Net Toll Revenue,NA
2018-01-01,-176881.9,Volume Discount,Business
2018-01-01,-730225.8300000001,Volume Discount,Personal
2018-02-01,9609072.719999999,Net Toll Revenue,NA
2018-02-01,-157762.3,Volume Discount,Business
2018-02-01,-638094.23,Volume Discount,Personal
2018-03-01,10727448.729999999,Net Toll Revenue,NA
2018-03-01,-179958.46,Volume Discount,Business
2018-03-01,-778416.6799999999,Volume Discount,Personal
2018-04-01,11434468.19,Net Toll Revenue,NA
2018-04-01,-189911.77000000002,Volume Discount,Business
2018-04-01,-778846.04,Volume Discount,Personal
2018-05-01,13238348.49,Net Toll Revenue,NA
2018-05-01,-206155.43,Volume Discount,Business
2018-05-01,-888158.48,Volume Discount,Personal
2018-06-01,13887702.89,Net Toll Revenue,NA
2018-06-01,-187538.93,Volume Discount,Business
2018-06-01,-841361.98,Volume Discount,Personal
2018-07-01,15679326.2,Net Toll Revenue,NA
2018-07-01,-194688.97999999998,Volume Discount,Business
2018-07-01,-797391.51,Volume Discount,Personal
2018-08-01,16469830.18,Net Toll Revenue,NA
2018-08-01,-204622.97999999998,Volume Discount,Business
2018-08-01,-895269.5,Volume Discount,Personal
2018-09-01,13424292.48,Net Toll Revenue,NA
2018-09-01,-179599.24000000002,Volume Discount,Business
2018-09-01,-775742.11,Volume Discount,Personal
2018-10-01,13242531.84,Net Toll Revenue,NA
2018-10-01,-203399.83,Volume Discount,Business
2018-10-01,-905750.42,Volume Discount,Personal
2018-11-01,11240969.89,Net Toll Revenue,NA
2018-11-01,-174370.91999999998,Volume Discount,Business
2018-11-01,-730505.62,Volume Discount,Personal
2018-12-01,11179064.88,Net Toll Revenue,NA
2018-12-01,-180748.55,Volume Discount,Business
2018-12-01,-754357.11,Volume Discount,Personal
2019-01-01,10245723.29,Net Toll Revenue,NA
