date,transactions,vehicle
2015-01-01,35017,Non Revenue
2015-02-01,4137276,Passenger
2015-02-01,497868,Commercial
2015-02-01,36289,Non Revenue
2015-03-01,5187747,Passenger
2015-03-01,580027,Commercial
2015-03-01,25104,Non Revenue
2015-04-01,5370426,Passenger
2015-04-01,607406,Commercial
2015-04-01,22969,Non Revenue
2015-05-01,6193398,Passenger
2015-05-01,637951,Commercial
2015-05-01,21910,Non Revenue
2015-06-01,6546622,Passenger
2015-06-01,671709,Commercial
2015-06-01,20700,Non Revenue
2015-07-01,7923391,Passenger
2015-07-01,691024,Commercial
2015-07-01,21528,Non Revenue
2015-08-01,8044105,Passenger
2015-08-01,669282,Commercial
2015-08-01,21590,Non Revenue
2015-09-01,6603824,Passenger
2015-09-01,659311,Commercial
2015-09-01,20702,Non Revenue
2015-10-01,6400597,Passenger
2015-10-01,666958,Commercial
2015-10-01,20927,Non Revenue
2015-11-01,5508944,Passenger
2015-11-01,585101,Commercial
2015-11-01,19727,Non Revenue
2015-12-01,5514023,Passenger
2015-12-01,595523,Commercial
2015-12-01,25249,Non Revenue
2016-01-01,4959045,Passenger
2016-01-01,549598,Commercial
2016-01-01,25430,Non Revenue
2016-02-01,4857391,Passenger
2016-02-01,541324,Commercial
2016-02-01,27012,Non Revenue
2016-03-01,5489678,Passenger
2016-03-01,616557,Commercial
2016-03-01,25904,Non Revenue
2016-04-01,5593476,Passenger
2016-04-01,610639,Commercial
2016-04-01,22195,Non Revenue
2016-05-01,6380023,Passenger
2016-05-01,662937,Commercial
2016-05-01,21670,Non Revenue
2016-06-01,6964629,Passenger
2016-06-01,698050,Commercial
2016-06-01,23085,Non Revenue
2016-07-01,8194657,Passenger
2016-07-01,659530,Commercial
2016-07-01,20665,Non Revenue
2016-08-01,8422237,Passenger
2016-08-01,721156,Commercial
2016-08-01,22332,Non Revenue
2016-09-01,6963760,Passenger
2016-09-01,681287,Commercial
2016-09-01,20635,Non Revenue
2016-10-01,6575273,Passenger
2016-10-01,662795,Commercial
2016-10-01,21465,Non Revenue
2016-11-01,5762595,Passenger
2016-11-01,618884,Commercial
2016-11-01,21266,Non Revenue
2016-12-01,5538741,Passenger
2016-12-01,605462,Commercial
2016-12-01,34323,Non Revenue
2017-01-01,5246169,Passenger
2017-01-01,596847,Commercial
2017-01-01,30485,Non Revenue
2017-02-01,4612505,Passenger
2017-02-01,518800,Commercial
2017-02-01,36356,Non Revenue
2017-03-01,5611200,Passenger
2017-03-01,616637,Commercial
2017-03-01,30655,Non Revenue
2017-04-01,5750504,Passenger
2017-04-01,612612,Commercial
2017-04-01,23778,Non Revenue
2017-05-01,6686813,Passenger
2017-05-01,708008,Commercial
2017-05-01,22780,Non Revenue
2017-06-01,7224006,Passenger
2017-06-01,717848,Commercial
2017-06-01,22777,Non Revenue
2017-07-01,8355762,Passenger
2017-07-01,678414,Commercial
2017-07-01,21329,Non Revenue
2017-08-01,8647586,Passenger
2017-08-01,740545,Commercial
2017-08-01,23799,Non Revenue
2017-09-01,7155965,Passenger
2017-09-01,676662,Commercial
2017-09-01,21140,Non Revenue
2017-10-01,6896299,Passenger
2017-10-01,688972,Commercial
2017-10-01,21791,Non Revenue
2017-11-01,6102262,Passenger
2017-11-01,650362,Commercial
2017-11-01,21591,Non Revenue
2017-12-01,5697567,Passenger
2017-12-01,604102,Commercial
2017-12-01,36744,Non Revenue
2018-01-01,5234832,Passenger
2018-01-01,606249,Commercial
2018-01-01,32467,Non Revenue
2018-02-01,5074534,Passenger
2018-02-01,552474,Commercial
2018-02-01,30477,Non Revenue
2018-03-01,5689733,Passenger
2018-03-01,609972,Commercial
2018-03-01,32194,Non Revenue
2018-04-01,5975818,Passenger
2018-04-01,647802,Commercial
2018-04-01,24583,Non Revenue
2018-05-01,6961390,Passenger
2018-05-01,742720,Commercial
2018-05-01,24443,Non Revenue
2018-06-01,7433515,Passenger
2018-06-01,719584,Commercial
2018-06-01,22740,Non Revenue
2018-07-01,8559207,Passenger
2018-07-01,713540,Commercial
2018-07-01,21969,Non Revenue
2018-08-01,8932354,Passenger
2018-08-01,756196,Commercial
2018-08-01,23172,Non Revenue
2018-09-01,7226475,Passenger
2018-09-01,672171,Commercial
2018-09-01,20944,Non Revenue
2018-10-01,7067098,Passenger
2018-10-01,717641,Commercial
2018-10-01,22054,Non Revenue
